지역구,지역동,아파트명,최저 시세,최고 시세,세대 수,동 수,최소 전용면적,최대 전용면적,초등학교까지의 거리
강남구,도곡동,도곡하이빌,,,12,1,76.23,156.39,1
강남구,도곡동,도곡한라비발디,230000,380000,110,1,111.45,164.97,3
강남구,도곡동,도곡한신,220000,280000,421,5,79.5,135.75,6
강남구,도곡동,도곡현대하이페리온,280000,300000,71,2,171.91,218.57,5
강남구,도곡동,도곡현대힐스테이트,,,57,4,151.4,224.74,1
강남구,도곡동,동연빌(주상복합),,,18,1,35.64,39.34,11
강남구,도곡동,라온빌(도시형),,,11,1,20.79,56.27,8
강남구,도곡동,래미안도곡카운티,230000,370000,397,8,81.57,132.86,5
강남구,도곡동,로덴하우스웨스트빌리지,500000,500000,19,1,298.43,337.65,16
강남구,도곡동,로덴하우스이스트빌리지,470000,470000,33,1,280.33,287.45,16
강남구,도곡동,롯데캐슬모닝,265000,265000,60,2,105.37,177.25,6
강남구,도곡동,리치아르떼빌,,,11,1,138.84,199.26,11
강남구,도곡동,매봉,163000,205000,132,1,70.84,100.61,20
강남구,도곡동,벨라빌,,,13,1,184.94,265.33,11
강남구,도곡동,삼성,170000,230000,231,4,81.09,104.15,16
강남구,도곡동,삼익,210000,213000,247,2,113.73,165.21,11
강남구,도곡동,삼호,,,144,2,137.85,137.85,21
강남구,도곡동,신성빌리지,,,16,2,119.94,131.9,13
강남구,도곡동,아카데미스위트(주상복합),230000,255000,414,1,112.2,332.64,11
강남구,도곡동,양재SK허브프리모(주상복합),38000,97000,176,1,47.19,98.16,4
강남구,도곡동,역삼럭키,225000,300000,1094,10,112,145.2,8
강남구,도곡동,우성리빙텔(주상복합),,,39,1,150.71,169.35,10
강남구,도곡동,우성캐릭터199(주상복합),270000,350000,199,2,162.08,201.13,9
강남구,도곡동,우성캐릭터빌(주상복합),,,47,1,192.17,219.68,12
강남구,도곡동,울트라멤버스,,,19,1,95.76,164.52,16
강남구,도곡동,원팰리스,,,19,1,57.59,126.72,4
강남구,도곡동,이니그마빌Ⅲ,430000,600000,14,1,265.22,270.31,12
강남구,도곡동,중명하니빌,36000,53000,111,1,31.88,64.37,4
강남구,도곡동,타워팰리스1차(주상복합),265000,950000,1294,4,105.79,403.76,6
강남구,도곡동,타워팰리스2차(주상복합),290000,1080000,813,2,92.87,326.18,6
강남구,도곡동,타워팰리스3차(주상복합),340000,750000,480,1,160.73,314.94,8
강남구,도곡동,파크힐,,,17,1,57.4,216.87,6
강남구,도곡동,포레스트빌,,,4,1,145.61,160.22,13
강남구,도곡동,포스코트,360000,380000,64,1,241.7,256.17,14
강남구,도곡동,플럼힐스,250000,250000,5,1,260.67,334.12,13
강남구,도곡동,필로스,,,8,1,115.57,233.97,12
강남구,도곡동,현대(도곡현대),200000,220000,211,3,102.54,102.54,5
강남구,도곡동,현대그린,190000,220000,171,1,96.61,96.91,5
강남구,도곡동,현대벨라하우스,,,8,1,256.24,272.1,16
강남구,도곡동,현대비젼21(주상복합),45000,55000,232,1,50.9,66.57,11
강남구,도곡동,현대아이리스,160000,160000,17,1,100.52,157.81,6
강남구,도곡동,현대오티움,310000,310000,18,1,219.69,262.63,13
강남구,도곡동,힐데스하임,,,19,1,288.9,501.28,14
강남구,삼성동,LH삼성(도시형),68000,68000,47,1,44.28,65.73,18
강남구,삼성동,SM드림빌,,,16,1,58.04,94.35,2
강남구,삼성동,강변삼부,,,48,1,100.64,135.66,17
강남구,삼성동,골든카운티,,,19,1,96.69,190.65,6
강남구,삼성동,그라나다,127000,127000,19,1,52.82,99.44,3
강남구,삼성동,네오블로썸,,,12,1,115.01,115.01,1
강남구,삼성동,노블테라스,,,10,1,137.92,228.01,5
강남구,삼성동,다우림하우스,,,10,1,89.66,147.08,9
강남구,삼성동,동구싼타빌,,,19,1,76.29,136.63,16
강남구,삼성동,동일파크스위트,420000,420000,36,1,170.87,202.22,17
강남구,삼성동,래미안라클래시,245000,370000,679,7,84.46,227.3,8
강남구,삼성동,래미안삼성1차(101동),,,77,1,91.51,233.66,14
강남구,삼성동,래미안삼성1차(201동),,,36,1,99.64,151.81,14
강남구,삼성동,래미안삼성1차(301/302/303동),280000,385000,133,3,102.54,169.89,13
강남구,삼성동,래미안삼성1차(501~504동),250000,350000,112,4,109.65,205.27,14
강남구,삼성동,래미안삼성2차,270000,430000,275,8,115.07,226.39,6
강남구,삼성동,로프트원,,,19,1,68.01,137.41,4
강남구,삼성동,롯데캐슬프레미어,260000,480000,713,11,106.93,239.42,6
강남구,삼성동,미켈란147(주상복합),165000,170000,67,1,101.54,239.48,12
강남구,삼성동,브라운스톤레전드(주상복합),450000,480000,54,1,199.47,343.15,10
강남구,삼성동,삼부(101동),260000,260000,43,1,81.68,141.16,16
강남구,삼성동,삼부(102동),,,40,1,74.96,125.73,15
강남구,삼성동,삼부아그레빌,195000,195000,67,1,90.63,125.95,12
강남구,삼성동,삼성SK뷰,,,41,1,99.01,158.17,17
강남구,삼성동,삼성골든빌,,,18,1,237.33,285.76,16
강남구,삼성동,삼성그랑빌,,,14,1,96.86,113.75,13
강남구,삼성동,삼성금호어울림,,,68,1,77,143.11,16
강남구,삼성동,삼성대성유니드,180000,190000,59,1,97.5,105.01,12
강남구,삼성동,삼성대우멤버스카운티1차,,,38,2,116.89,180.27,14
강남구,삼성동,삼성대우멤버스카운티2차,,,17,1,140.68,195.45,4
강남구,삼성동,삼성대우멤버스카운티3차,,,11,1,121.35,172.92,4
강남구,삼성동,삼성대우멤버스카운티5차,,,17,1,136.06,143.17,4
강남구,삼성동,삼성대유리채(도시형),,,65,1,21.73,61.62,10
강남구,삼성동,삼성더파크뷰,,,12,1,215.58,215.58,8
강남구,삼성동,삼성드림하우스,,,18,1,93.58,135.68,4
강남구,삼성동,삼성디뷰더센트럴(도시형),7500,89300,27,1,39.99,50.07,19
강남구,삼성동,삼성라테라스,400000,430000,18,1,139.86,243.27,21
강남구,삼성동,삼성롯데,175000,255000,339,3,79.36,122.6,7
강남구,삼성동,삼성롯데캐슬킹덤,320000,330000,118,3,122.25,207.63,1
강남구,삼성동,삼성루첸시아,,,10,1,60.23,129.09,13
강남구,삼성동,삼성리치빌(주상복합),,,48,1,100.73,100.73,14
강남구,삼성동,삼성미켈란107(주상복합),195000,220000,64,1,99.79,99.79,13
강남구,삼성동,삼성벨라스,260000,260000,19,1,156.64,185.99,2
강남구,삼성동,삼성벽산블루밍,,,26,2,97.47,174.24,15
강남구,삼성동,삼성브르넨(주상복합),230000,290000,22,1,41.29,162.84,9
강남구,삼성동,삼성센트럴아이파크,340000,480000,416,4,74.23,220.74,8
강남구,삼성동,삼성신도브래뉴(주상복합),190000,320000,21,1,102.98,163.81,10
강남구,삼성동,삼성씨엘케이,205000,205000,12,1,99.47,99.47,4
강남구,삼성동,삼성아셈,,,18,1,62.9,125.13,14
강남구,삼성동,삼성아트빌,,,10,1,109.34,126.34,9
강남구,삼성동,삼성아펠바움,500000,580000,17,1,282.73,313.63,15
강남구,삼성동,삼성오네뜨,,,48,2,162.61,178.71,11
강남구,삼성동,삼성우림루미아트,260000,260000,40,1,117.5,165.44,17
강남구,삼성동,삼성우정에쉐르II(주상복합),120000,120000,60,1,66.26,71.83,15
강남구,삼성동,삼성월드타워,,,46,1,66.98,96.55,4
강남구,삼성동,삼성웰피아,,,19,1,104.91,120.23,12
강남구,삼성동,삼성이안파크,180000,180000,19,1,102.03,130.74,11
강남구,삼성동,삼성중앙하이츠빌리지,210000,280000,298,5,83.93,192.66,7
강남구,삼성동,삼성지웰팰리스(주상복합),,,16,1,103.53,264.51,5
강남구,삼성동,삼성파크,200000,200000,114,1,121.5,162.21,11
강남구,삼성동,삼성파크엘나인(주상복합),,,4,1,35.76,107.72,5
강남구,삼성동,삼성팰리스(71-16),350000,350000,19,1,99.26,136.65,16
강남구,삼성동,삼성펠리스(129-5),,,18,1,90.02,187.6,13
강남구,삼성동,삼성포스코더샵(주상복합),320000,360000,72,1,176.54,242.66,11
강남구,삼성동,삼성풍림2차,170000,170000,112,1,54.6,126.74,12
강남구,삼성동,삼성한일,,,127,1,83.55,108.27,5
강남구,삼성동,삼성헤렌하우스2,370000,540000,33,2,133.03,273.46,7
강남구,삼성동,삼성현대1차,,,19,1,176.36,230.61,9
강남구,삼성동,삼성현대2차,,,11,1,128.29,174.5,8
강남구,삼성동,삼성힐스테이트1단지,115000,370000,1144,17,41.4,144.26,7
강남구,삼성동,삼성힐스테이트2단지,165000,300000,926,12,51.81,111.25,6
강남구,삼성동,상아빌라트,250000,250000,17,1,189.41,290.16,4
강남구,삼성동,상지리츠빌카일룸,530000,535000,13,1,287.46,333.74,18
강남구,삼성동,서광,173000,225000,304,2,77.04,104.43,5
강남구,삼성동,석탑,175000,175000,139,1,80.92,106.24,3
강남구,삼성동,선릉LG에클라트(A동/주상복합),34500,37000,125,1,45.07,65.27,17
강남구,삼성동,선릉LG에클라트(B동/주상복합),33000,45000,293,1,47.44,77.44,16
강남구,삼성동,세방타운하우스,,,14,1,100.53,148.14,13
강남구,삼성동,신동아듀크빌,,,17,1,264.44,300.64,16
강남구,삼성동,심포니하우스,,,19,1,190.66,264.54,14
강남구,삼성동,쌍용플래티넘(주상복합),,,88,2,147.32,188.65,6
강남구,삼성동,씨티빌,,,38,2,181.63,305.35,12
강남구,삼성동,아델하우스,700000,700000,14,1,210.21,226.56,13
강남구,삼성동,아르헤타워(도시형),60000,60000,20,1,39.84,43.17,0
강남구,삼성동,아셈(150-5),,,19,1,74.72,168.02,13
강남구,삼성동,아이파크삼성,500000,1620000,449,3,182.87,345.15,5
강남구,삼성동,영무예다음,200000,200000,45,2,105.72,135.18,8
강남구,삼성동,우정에쉐르,215000,215000,40,1,109.43,151.46,5
강남구,삼성동,월성빌라트,,,19,1,115.14,212.52,12
강남구,삼성동,위레벤646(도시형),,,63,1,49.5,161.15,4
강남구,삼성동,이안애2차,100000,167000,19,1,72.06,133.37,13
